States,Registered_users,Transaction_count,Amount in Millions,Year,Quarter,state_code,Latitude,Longitude
Andaman & Nicobar Islands,6740,6658,14.63,2018,1st Quarter,35,11.66702557,92.73598262
Andaman & Nicobar Islands,9405,11340,28.34,2018,2nd Quarter,35,11.66702557,92.73598262
Andaman & Nicobar Islands,12149,16265,55.56,2018,3rd Quarter,35,11.66702557,92.73598262
Andaman & Nicobar Islands,15222,23758,90.55,2018,4th Quarter,35,11.66702557,92.73598262
Andaman & Nicobar Islands,18596,30486,102.30,2019,1st Quarter,35,11.66702557,92.73598262
Andaman & Nicobar Islands,21731,33689,120.25,2019,2nd Quarter,35,11.66702557,92.73598262
Andaman & Nicobar Islands,23931,33770,114.07,2019,3rd Quarter,35,11.66702557,92.73598262
Andaman & Nicobar Islands,25960,35159,136.84,2019,4th Quarter,35,11.66702557,92.73598262
Andaman & Nicobar Islands,28368,41298,161.48,2020,1st Quarter,35,11.66702557,92.73598262
Andaman & Nicobar Islands,32710,62962,169.65,2020,2nd Quarter,35,11.66702557,92.73598262
Andaman & Nicobar Islands,41335,117483,338.02,2020,3rd Quarter,35,11.66702557,92.73598262
Andaman & Nicobar Islands,52396,224531,627.28,2020,4th Quarter,35,11.66702557,92.73598262
Andaman & Nicobar Islands,57758,244752,783.71,2021,1st Quarter,35,11.66702557,92.73598262
Andaman & Nicobar Islands,62095,341414,899.15,2021,2nd Quarter,35,11.66702557,92.73598262
Andaman & Nicobar Islands,66982,449764,1310.02,2021,3rd Quarter,35,11.66702557,92.73598262
Andaman & Nicobar Islands,71780,636123,1932.61,2021,4th Quarter,35,11.66702557,92.73598262
Andaman & Nicobar Islands,76288,794748,2129.03,2022,1st Quarter,35,11.66702557,92.73598262
Andaman & Nicobar Islands,80530,1071217,2685.92,2022,2nd Quarter,35,11.66702557,92.73598262
Andaman & Nicobar Islands,84642,1584379,3310.63,2022,3rd Quarter,35,11.66702557,92.73598262
Andaman & Nicobar Islands,88442,1987535,3984.67,2022,4th Quarter,35,11.66702557,92.73598262
Andhra Pradesh,3336450,9039585,11996.28,2018,1st Quarter,28,15.9129,79.74
Andhra Pradesh,4402540,12353918,22883.91,2018,2nd Quarter,28,15.9129,79.74
Andhra Pradesh,5427617,25626061,35718.04,2018,3rd Quarter,28,15.9129,79.74
Andhra Pradesh,6857409,30759548,51473.78,2018,4th Quarter,28,15.9129,79.74
Andhra Pradesh,8283019,57264522,83760.60,2019,1st Quarter,28,15.9129,79.74
Andhra Pradesh,9389003,56409015,114000.00,2019,2nd Quarter,28,15.9129,79.74
Andhra Pradesh,10458693,76288614,139000.00,2019,3rd Quarter,28,15.9129,79.74
Andhra Pradesh,11757883,107218103,201000.00,2019,4th Quarter,28,15.9129,79.74
Andhra Pradesh,13022060,127677357,253000.00,2020,1st Quarter,28,15.9129,79.74
Andhra Pradesh,14319675,144917855,303000.00,2020,2nd Quarter,28,15.9129,79.74
Andhra Pradesh,15692405,204902935,467000.00,2020,3rd Quarter,28,15.9129,79.74
Andhra Pradesh,17076565,286118552,655000.00,2020,4th Quarter,28,15.9129,79.74
Andhra Pradesh,18363733,289747970,672000.00,2021,1st Quarter,28,15.9129,79.74
Andhra Pradesh,19620905,352767134,851000.00,2021,2nd Quarter,28,15.9129,79.74
Andhra Pradesh,21059898,432032550,984000.00,2021,3rd Quarter,28,15.9129,79.74
Andhra Pradesh,22489029,522254003,1160000.00,2021,4th Quarter,28,15.9129,79.74
Andhra Pradesh,23857951,582603911,1290000.00,2022,1st Quarter,28,15.9129,79.74
Andhra Pradesh,25157264,671134030,1480000.00,2022,2nd Quarter,28,15.9129,79.74
Andhra Pradesh,26496330,642855035,1390000.00,2022,3rd Quarter,28,15.9129,79.74
Andhra Pradesh,27778016,690017077,1420000.00,2022,4th Quarter,28,15.9129,79.74
Arunachal Pradesh,21495,45497,92.39,2018,1st Quarter,12,27.10039878,93.61660071
Arunachal Pradesh,32883,82157,198.97,2018,2nd Quarter,12,27.10039878,93.61660071
Arunachal Pradesh,45922,131146,331.73,2018,3rd Quarter,12,27.10039878,93.61660071
Arunachal Pradesh,61852,176429,504.04,2018,4th Quarter,12,27.10039878,93.61660071
Arunachal Pradesh,76957,226506,609.95,2019,1st Quarter,12,27.10039878,93.61660071
Arunachal Pradesh,95885,258656,752.66,2019,2nd Quarter,12,27.10039878,93.61660071
Arunachal Pradesh,112149,370234,912.65,2019,3rd Quarter,12,27.10039878,93.61660071
Arunachal Pradesh,129321,459475,1190.57,2019,4th Quarter,12,27.10039878,93.61660071
Arunachal Pradesh,149066,567175,1381.76,2020,1st Quarter,12,27.10039878,93.61660071
Arunachal Pradesh,177534,808774,1826.72,2020,2nd Quarter,12,27.10039878,93.61660071
Arunachal Pradesh,206046,962827,2609.94,2020,3rd Quarter,12,27.10039878,93.61660071
Arunachal Pradesh,231292,1209129,3570.26,2020,4th Quarter,12,27.10039878,93.61660071
Arunachal Pradesh,251240,1177456,3813.78,2021,1st Quarter,12,27.10039878,93.61660071
Arunachal Pradesh,270572,1568338,4456.43,2021,2nd Quarter,12,27.10039878,93.61660071
Arunachal Pradesh,293073,1906967,5678.12,2021,3rd Quarter,12,27.10039878,93.61660071
Arunachal Pradesh,314944,2390598,6943.51,2021,4th Quarter,12,27.10039878,93.61660071
Arunachal Pradesh,335339,2804068,7828.09,2022,1st Quarter,12,27.10039878,93.61660071
Arunachal Pradesh,354528,3556925,9131.67,2022,2nd Quarter,12,27.10039878,93.61660071
Arunachal Pradesh,373372,3939418,9025.11,2022,3rd Quarter,12,27.10039878,93.61660071
Arunachal Pradesh,390307,4632709,9684.91,2022,4th Quarter,12,27.10039878,93.61660071
Assam,385237,1056881,1157.80,2018,1st Quarter,18,26.7499809,94.21666744
Assam,571046,1663873,2350.59,2018,2nd Quarter,18,26.7499809,94.21666744
Assam,784802,2351851,3811.13,2018,3rd Quarter,18,26.7499809,94.21666744
Assam,1039221,3734172,5888.02,2018,4th Quarter,18,26.7499809,94.21666744
Assam,1259085,4533005,8002.10,2019,1st Quarter,18,26.7499809,94.21666744
Assam,1500128,5454929,10954.97,2019,2nd Quarter,18,26.7499809,94.21666744
Assam,1731523,5942571,12950.44,2019,3rd Quarter,18,26.7499809,94.21666744
Assam,1941220,6760510,15281.98,2019,4th Quarter,18,26.7499809,94.21666744
Assam,2185938,8808860,20668.43,2020,1st Quarter,18,26.7499809,94.21666744
Assam,2550883,10505199,19766.30,2020,2nd Quarter,18,26.7499809,94.21666744
Assam,2830011,12397711,29831.39,2020,3rd Quarter,18,26.7499809,94.21666744
Assam,3106153,15423454,40226.61,2020,4th Quarter,18,26.7499809,94.21666744
Assam,3358448,19512060,51326.46,2021,1st Quarter,18,26.7499809,94.21666744
Assam,3617056,25432905,59192.47,2021,2nd Quarter,18,26.7499809,94.21666744
Assam,3918480,33504441,75700.50,2021,3rd Quarter,18,26.7499809,94.21666744
Assam,4209591,46020361,104000.00,2021,4th Quarter,18,26.7499809,94.21666744
Assam,4492589,58889886,132000.00,2022,1st Quarter,18,26.7499809,94.21666744
Assam,4755787,76334725,153000.00,2022,2nd Quarter,18,26.7499809,94.21666744
Assam,5016910,86113811,161000.00,2022,3rd Quarter,18,26.7499809,94.21666744
Assam,5247776,103981267,193000.00,2022,4th Quarter,18,26.7499809,94.21666744
Bihar,2133804,5824302,6045.76,2018,1st Quarter,10,25.78541445,87.4799727
Bihar,3005872,8632378,13506.13,2018,2nd Quarter,10,25.78541445,87.4799727
Bihar,3784535,14367804,20135.80,2018,3rd Quarter,10,25.78541445,87.4799727
Bihar,4776665,15732401,28398.00,2018,4th Quarter,10,25.78541445,87.4799727
Bihar,5745117,26356234,41502.83,2019,1st Quarter,10,25.78541445,87.4799727
Bihar,6589759,29960479,63132.44,2019,2nd Quarter,10,25.78541445,87.4799727
Bihar,7380265,32139900,67692.78,2019,3rd Quarter,10,25.78541445,87.4799727
Bihar,8342274,43530314,93313.43,2019,4th Quarter,10,25.78541445,87.4799727
Bihar,9351234,45081815,109000.00,2020,1st Quarter,10,25.78541445,87.4799727
Bihar,10603767,53386742,129000.00,2020,2nd Quarter,10,25.78541445,87.4799727
Bihar,11763213,71503748,173000.00,2020,3rd Quarter,10,25.78541445,87.4799727
Bihar,12889833,96591673,239000.00,2020,4th Quarter,10,25.78541445,87.4799727
Bihar,13946288,114932477,281000.00,2021,1st Quarter,10,25.78541445,87.4799727
Bihar,14972134,155603622,375000.00,2021,2nd Quarter,10,25.78541445,87.4799727
Bihar,16160771,187671113,397000.00,2021,3rd Quarter,10,25.78541445,87.4799727
Bihar,17335981,245126945,519000.00,2021,4th Quarter,10,25.78541445,87.4799727
Bihar,18484658,284390434,611000.00,2022,1st Quarter,10,25.78541445,87.4799727
Bihar,19569894,360145029,754000.00,2022,2nd Quarter,10,25.78541445,87.4799727
Bihar,20694376,437367385,791000.00,2022,3rd Quarter,10,25.78541445,87.4799727
Bihar,21738117,517084649,936000.00,2022,4th Quarter,10,25.78541445,87.4799727
Chandigarh,86268,381895,613.44,2018,1st Quarter,4,30.71999697,76.78000565
Chandigarh,115219,479084,961.22,2018,2nd Quarter,4,30.71999697,76.78000565
Chandigarh,143893,616936,1369.35,2018,3rd Quarter,4,30.71999697,76.78000565
Chandigarh,177747,905116,2032.59,2018,4th Quarter,4,30.71999697,76.78000565
Chandigarh,209175,1274476,2396.03,2019,1st Quarter,4,30.71999697,76.78000565
Chandigarh,240439,1252470,2693.12,2019,2nd Quarter,4,30.71999697,76.78000565
Chandigarh,267337,1506543,3269.68,2019,3rd Quarter,4,30.71999697,76.78000565
Chandigarh,289590,1850915,4152.51,2019,4th Quarter,4,30.71999697,76.78000565
Chandigarh,312887,2262511,5126.45,2020,1st Quarter,4,30.71999697,76.78000565
Chandigarh,336351,1528010,3847.02,2020,2nd Quarter,4,30.71999697,76.78000565
Chandigarh,362588,2158086,5089.81,2020,3rd Quarter,4,30.71999697,76.78000565
Chandigarh,391402,2912716,6146.76,2020,4th Quarter,4,30.71999697,76.78000565
Chandigarh,419998,3970237,7596.42,2021,1st Quarter,4,30.71999697,76.78000565
Chandigarh,448572,4417547,8417.67,2021,2nd Quarter,4,30.71999697,76.78000565
Chandigarh,480463,6649378,11815.88,2021,3rd Quarter,4,30.71999697,76.78000565
Chandigarh,512092,7898903,14373.58,2021,4th Quarter,4,30.71999697,76.78000565
Chandigarh,541549,8600491,15174.99,2022,1st Quarter,4,30.71999697,76.78000565
Chandigarh,569582,10772489,17283.50,2022,2nd Quarter,4,30.71999697,76.78000565
Chandigarh,598698,13478173,20559.76,2022,3rd Quarter,4,30.71999697,76.78000565
Chandigarh,627563,17904840,27879.75,2022,4th Quarter,4,30.71999697,76.78000565
Chhattisgarh,679263,1891514,2149.16,2018,1st Quarter,22,22.09042035,82.15998734
Chhattisgarh,950675,2816156,4264.17,2018,2nd Quarter,22,22.09042035,82.15998734
Chhattisgarh,1217792,3859604,6302.31,2018,3rd Quarter,22,22.09042035,82.15998734
Chhattisgarh,1579998,5365844,9416.41,2018,4th Quarter,22,22.09042035,82.15998734
Chhattisgarh,1908898,7887669,12544.56,2019,1st Quarter,22,22.09042035,82.15998734
Chhattisgarh,2191066,9389945,17002.36,2019,2nd Quarter,22,22.09042035,82.15998734
Chhattisgarh,2435058,12243111,19803.26,2019,3rd Quarter,22,22.09042035,82.15998734
Chhattisgarh,2725900,16305758,27143.79,2019,4th Quarter,22,22.09042035,82.15998734
Chhattisgarh,3016487,19523991,32860.60,2020,1st Quarter,22,22.09042035,82.15998734
Chhattisgarh,3401658,18820925,32268.38,2020,2nd Quarter,22,22.09042035,82.15998734
Chhattisgarh,3799386,24148539,41526.74,2020,3rd Quarter,22,22.09042035,82.15998734
Chhattisgarh,4190601,35529636,62214.97,2020,4th Quarter,22,22.09042035,82.15998734
Chhattisgarh,4514551,39436437,69409.84,2021,1st Quarter,22,22.09042035,82.15998734
Chhattisgarh,4837055,44689420,78728.77,2021,2nd Quarter,22,22.09042035,82.15998734
Chhattisgarh,5206084,64237938,105000.00,2021,3rd Quarter,22,22.09042035,82.15998734
Chhattisgarh,5565481,84717494,136000.00,2021,4th Quarter,22,22.09042035,82.15998734
Chhattisgarh,5916961,97413292,158000.00,2022,1st Quarter,22,22.09042035,82.15998734
Chhattisgarh,6238349,116584048,181000.00,2022,2nd Quarter,22,22.09042035,82.15998734
Chhattisgarh,6562237,158252587,220000.00,2022,3rd Quarter,22,22.09042035,82.15998734
Chhattisgarh,6846822,177960446,253000.00,2022,4th Quarter,22,22.09042035,82.15998734
Dadra & Nagar Haveli & Daman & Diu,53258,148549,175.66,2018,1st Quarter,26,20.26657819,73.0166178
Dadra & Nagar Haveli & Daman & Diu,71458,202626,302.07,2018,2nd Quarter,26,20.26657819,73.0166178
Dadra & Nagar Haveli & Daman & Diu,92107,289575,447.64,2018,3rd Quarter,26,20.26657819,73.0166178
Dadra & Nagar Haveli & Daman & Diu,116511,404082,658.75,2018,4th Quarter,26,20.26657819,73.0166178
Dadra & Nagar Haveli & Daman & Diu,140532,661814,843.37,2019,1st Quarter,26,20.26657819,73.0166178
Dadra & Nagar Haveli & Daman & Diu,158580,489656,824.44,2019,2nd Quarter,26,20.26657819,73.0166178
Dadra & Nagar Haveli & Daman & Diu,176929,638751,961.47,2019,3rd Quarter,26,20.26657819,73.0166178
Dadra & Nagar Haveli & Daman & Diu,197598,768971,1226.64,2019,4th Quarter,26,20.26657819,73.0166178
Dadra & Nagar Haveli & Daman & Diu,218496,878579,1342.76,2020,1st Quarter,26,20.26657819,73.0166178
Dadra & Nagar Haveli & Daman & Diu,244814,973152,1302.38,2020,2nd Quarter,26,20.26657819,73.0166178
Dadra & Nagar Haveli & Daman & Diu,267946,1138312,1749.79,2020,3rd Quarter,26,20.26657819,73.0166178
Dadra & Nagar Haveli & Daman & Diu,296493,1817791,2700.51,2020,4th Quarter,26,20.26657819,73.0166178
Dadra & Nagar Haveli & Daman & Diu,321396,1925244,2965.63,2021,1st Quarter,26,20.26657819,73.0166178
Dadra & Nagar Haveli & Daman & Diu,344994,2125083,3157.67,2021,2nd Quarter,26,20.26657819,73.0166178
Dadra & Nagar Haveli & Daman & Diu,371874,3129470,4305.94,2021,3rd Quarter,26,20.26657819,73.0166178
Dadra & Nagar Haveli & Daman & Diu,398963,4157085,5565.84,2021,4th Quarter,26,20.26657819,73.0166178
Dadra & Nagar Haveli & Daman & Diu,424570,4802803,6237.05,2022,1st Quarter,26,20.26657819,73.0166178
Dadra & Nagar Haveli & Daman & Diu,449016,5759771,6995.16,2022,2nd Quarter,26,20.26657819,73.0166178
Dadra & Nagar Haveli & Daman & Diu,474807,6465621,7520.65,2022,3rd Quarter,26,20.26657819,73.0166178
Dadra & Nagar Haveli & Daman & Diu,500125,7189585,8059.64,2022,4th Quarter,26,20.26657819,73.0166178
Delhi,2087022,7122754,11211.50,2018,1st Quarter,7,28.6699929,77.23000403
Delhi,2756141,9373723,17446.30,2018,2nd Quarter,7,28.6699929,77.23000403
Delhi,3504911,18547048,27375.85,2018,3rd Quarter,7,28.6699929,77.23000403
Delhi,4630313,29187719,39722.86,2018,4th Quarter,7,28.6699929,77.23000403
Delhi,5499263,47007327,58469.13,2019,1st Quarter,7,28.6699929,77.23000403
Delhi,6165448,57171512,81706.82,2019,2nd Quarter,7,28.6699929,77.23000403
Delhi,6782286,69537876,103000.00,2019,3rd Quarter,7,28.6699929,77.23000403
Delhi,7289883,80744997,129000.00,2019,4th Quarter,7,28.6699929,77.23000403
Delhi,7826197,81747604,134000.00,2020,1st Quarter,7,28.6699929,77.23000403
Delhi,8391139,66042018,108000.00,2020,2nd Quarter,7,28.6699929,77.23000403
Delhi,9044174,96491861,175000.00,2020,3rd Quarter,7,28.6699929,77.23000403
Delhi,9747968,120540417,216000.00,2020,4th Quarter,7,28.6699929,77.23000403
Delhi,10467210,157359004,267000.00,2021,1st Quarter,7,28.6699929,77.23000403
Delhi,11182699,170157264,282000.00,2021,2nd Quarter,7,28.6699929,77.23000403
Delhi,11980061,238760608,384000.00,2021,3rd Quarter,7,28.6699929,77.23000403
Delhi,12785127,292683359,489000.00,2021,4th Quarter,7,28.6699929,77.23000403
Delhi,13539197,330999861,537000.00,2022,1st Quarter,7,28.6699929,77.23000403
Delhi,14260143,410634184,630000.00,2022,2nd Quarter,7,28.6699929,77.23000403
Delhi,15009523,475592161,678000.00,2022,3rd Quarter,7,28.6699929,77.23000403
Delhi,15764149,515203457,745000.00,2022,4th Quarter,7,28.6699929,77.23000403
Goa,91936,160897,303.86,2018,1st Quarter,30,15.491997,73.81800065
Goa,122174,229575,478.60,2018,2nd Quarter,30,15.491997,73.81800065
Goa,153802,339511,713.17,2018,3rd Quarter,30,15.491997,73.81800065
Goa,195350,514755,1153.01,2018,4th Quarter,30,15.491997,73.81800065
Goa,238152,738812,1475.32,2019,1st Quarter,30,15.491997,73.81800065
Goa,278940,768441,1591.87,2019,2nd Quarter,30,15.491997,73.81800065
Goa,317194,1092416,2000.37,2019,3rd Quarter,30,15.491997,73.81800065
Goa,353546,1515272,2923.46,2019,4th Quarter,30,15.491997,73.81800065
Goa,391900,1881237,3410.37,2020,1st Quarter,30,15.491997,73.81800065
Goa,430639,1482092,2183.62,2020,2nd Quarter,30,15.491997,73.81800065
Goa,474962,1915531,3368.34,2020,3rd Quarter,30,15.491997,73.81800065
Goa,527584,3801381,6899.79,2020,4th Quarter,30,15.491997,73.81800065
Goa,570035,5331549,9757.24,2021,1st Quarter,30,15.491997,73.81800065
Goa,609106,4710135,8012.85,2021,2nd Quarter,30,15.491997,73.81800065
Goa,653458,6467763,10478.43,2021,3rd Quarter,30,15.491997,73.81800065
Goa,697178,11088759,18627.26,2021,4th Quarter,30,15.491997,73.81800065
Goa,738628,12214098,19816.45,2022,1st Quarter,30,15.491997,73.81800065
Goa,777779,14216054,22873.04,2022,2nd Quarter,30,15.491997,73.81800065
Goa,817830,13188687,19574.27,2022,3rd Quarter,30,15.491997,73.81800065
Goa,855202,17192674,24924.99,2022,4th Quarter,30,15.491997,73.81800065
Gujarat,2690048,5948775,7577.98,2018,1st Quarter,24,22.6708,71.5724
Gujarat,3565825,7745733,12162.68,2018,2nd Quarter,24,22.6708,71.5724
Gujarat,4433183,11334149,17866.40,2018,3rd Quarter,24,22.6708,71.5724
Gujarat,5579040,14733303,24830.99,2018,4th Quarter,24,22.6708,71.5724
Gujarat,6652536,24991451,35856.08,2019,1st Quarter,24,22.6708,71.5724
Gujarat,7574645,28981842,49320.62,2019,2nd Quarter,24,22.6708,71.5724
Gujarat,8429299,38228649,59462.69,2019,3rd Quarter,24,22.6708,71.5724
Gujarat,9323799,42547632,76690.66,2019,4th Quarter,24,22.6708,71.5724
Gujarat,10259843,47326417,86995.08,2020,1st Quarter,24,22.6708,71.5724
Gujarat,11392657,47420185,80387.85,2020,2nd Quarter,24,22.6708,71.5724
Gujarat,12467847,59290179,112000.00,2020,3rd Quarter,24,22.6708,71.5724
Gujarat,13605203,77828547,148000.00,2020,4th Quarter,24,22.6708,71.5724
Gujarat,14670126,94774565,184000.00,2021,1st Quarter,24,22.6708,71.5724
Gujarat,15735981,111841396,210000.00,2021,2nd Quarter,24,22.6708,71.5724
Gujarat,16946761,149248407,273000.00,2021,3rd Quarter,24,22.6708,71.5724
Gujarat,18139201,182987325,342000.00,2021,4th Quarter,24,22.6708,71.5724
Gujarat,19265314,210547146,393000.00,2022,1st Quarter,24,22.6708,71.5724
Gujarat,20321596,252052796,447000.00,2022,2nd Quarter,24,22.6708,71.5724
Gujarat,21394721,303239732,497000.00,2022,3rd Quarter,24,22.6708,71.5724
Gujarat,22412353,341156018,568000.00,2022,4th Quarter,24,22.6708,71.5724
Haryana,1847357,4480770,6793.51,2018,1st Quarter,6,28.45000633,77.01999101
Haryana,2447221,6150931,11320.41,2018,2nd Quarter,6,28.45000633,77.01999101
Haryana,3020398,8262024,16375.14,2018,3rd Quarter,6,28.45000633,77.01999101
Haryana,3793079,12950183,25390.88,2018,4th Quarter,6,28.45000633,77.01999101
Haryana,4538767,22135775,34051.66,2019,1st Quarter,6,28.45000633,77.01999101
Haryana,5178030,22741816,42501.54,2019,2nd Quarter,6,28.45000633,77.01999101
Haryana,5783752,30343531,52489.12,2019,3rd Quarter,6,28.45000633,77.01999101
Haryana,6366679,37825985,69359.72,2019,4th Quarter,6,28.45000633,77.01999101
Haryana,7018770,44036087,81976.21,2020,1st Quarter,6,28.45000633,77.01999101
